Gene_ID,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6,Patient7
ENSG00000272420,8,10,7,3,3,5,5
ENSG00000157916,137,140,92,175,176,176,140
ENSG00000157911,36,29,35,43,33,34,43
ENSG00000149527,255,335,161,225,216,206,133
ENSG00000224387,5,6,1,2,2,3,1
ENSG00000229393,3,0,1,2,0,0,0
ENSG00000157881,200,159,116,86,238,254,180
ENSG00000197921,61,93,24,69,16,37,18
ENSG00000272449,2,4,7,6,7,3,3
ENSG00000238164,11,7,9,13,5,13,9
ENSG00000157873,25,37,21,33,31,41,25
ENSG00000225931,1,0,0,2,0,1,0
ENSG00000228037,4,2,0,0,2,4,2
ENSG00000157870,70,111,46,67,99,123,102
ENSG00000142606,4,4,1,2,4,3,0
ENSG00000237058,6,0,4,0,0,1,0
ENSG00000215912,43,42,30,24,28,26,35
ENSG00000285945,0,0,0,0,1,0,0
ENSG00000283259,2,11,0,4,2,1,1
ENSG00000233234,0,0,0,0,0,0,0
ENSG00000231630,1,0,0,0,0,0,0
ENSG00000284745,3,1,0,0,3,2,2
ENSG00000169717,1,1,1,0,0,0,1
ENSG00000177133,172,201,62,159,131,184,97
ENSG00000142611,61,83,53,90,93,104,88
ENSG00000283572,0,1,0,0,0,0,0
ENSG00000226286,0,0,2,1,1,2,0
ENSG00000279839,3,9,4,5,4,6,0
ENSG00000272235,11,18,15,19,9,33,9
ENSG00000130762,5,14,9,5,4,3,1
ENSG00000272088,0,0,0,0,0,0,0
ENSG00000162591,30,51,45,26,24,19,25
ENSG00000207776,0,0,0,0,0,0,0
ENSG00000238260,3,3,3,1,0,3,0
ENSG00000158109,365,301,404,426,333,431,359
ENSG00000116213,60,64,57,60,74,75,59
ENSG00000078900,19,4,31,4,1,5,9
ENSG00000227589,0,1,0,0,0,0,0
ENSG00000235131,1,0,0,0,0,0,0
ENSG00000227372,92,91,63,64,113,110,92
ENSG00000276189,0,0,0,0,0,0,0
ENSG00000162592,1,2,1,1,2,4,5
ENSG00000235169,2,0,0,0,0,0,1
ENSG00000130764,234,242,281,271,260,331,263
ENSG00000266075,3,0,1,2,0,3,0
ENSG00000272153,0,4,0,0,0,1,3
ENSG00000116198,180,214,136,170,218,200,131
ENSG00000169598,33,57,37,48,44,44,32
ENSG00000198912,41,31,37,24,43,82,29
ENSG00000236423,2,3,7,0,2,2,5
ENSG00000233304,5,1,2,0,0,6,2
ENSG00000226374,1,2,10,2,2,2,1
ENSG00000284668,2,1,1,1,0,0,3
ENSG00000284703,22,33,36,21,4,21,8
ENSG00000229280,0,2,1,1,0,2,2
ENSG00000235054,0,0,1,1,1,0,0
ENSG00000284694,4,3,4,3,0,2,0
ENSG00000227169,0,0,0,0,0,0,0
ENSG00000232596,0,2,2,0,2,0,0
ENSG00000196581,763,906,802,636,482,785,708
ENSG00000284739,2,0,0,1,0,0,0
ENSG00000284674,0,2,0,0,1,0,0
ENSG00000231510,0,1,0,0,0,0,0
ENSG00000284616,0,1,1,1,0,0,0
ENSG00000284692,1,3,7,0,3,0,0
ENSG00000284666,0,0,0,0,0,0,0
ENSG00000260972,0,2,0,0,0,1,0
ENSG00000283356,0,0,0,0,0,0,0
ENSG00000236948,3,0,7,3,2,15,2
ENSG00000264341,0,0,0,0,0,0,0
ENSG00000264101,0,0,0,0,4,1,0
ENSG00000131697,192,247,116,275,205,207,190
ENSG00000069424,900,1268,582,903,783,1034,737
ENSG00000116254,1204,1481,985,1192,1131,1456,923
ENSG00000285629,0,0,0,0,0,0,0
ENSG00000116251,206,286,255,187,244,266,251
ENSG00000226944,4,3,3,5,4,3,4
ENSG00000158286,45,77,34,71,73,45,41
ENSG00000116237,154,149,118,145,174,163,146
ENSG00000225077,5,4,1,1,0,1,2
ENSG00000173673,0,0,1,0,0,0,1
ENSG00000158292,72,57,65,59,48,60,57
ENSG00000097021,320,258,285,437,322,487,290
ENSG00000271746,0,0,0,0,0,0,0
ENSG00000069812,6,2,1,3,0,0,2
ENSG00000187017,2,8,3,0,2,5,3
ENSG00000265392,0,0,0,1,0,0,0
ENSG00000231868,2,0,1,0,1,0,2
ENSG00000215788,55,60,39,72,65,66,18
ENSG00000171680,270,338,152,237,315,297,167
ENSG00000162408,220,313,240,243,271,269,192
ENSG00000253022,2,0,0,1,0,0,0
ENSG00000229519,7,22,8,2,7,7,22
ENSG00000173662,1,1,0,0,3,2,2
ENSG00000204859,42,81,51,64,78,85,80
ENSG00000162413,131,185,163,206,186,214,165
ENSG00000116273,87,102,87,80,123,107,112
ENSG00000041988,34,39,27,58,34,54,48
ENSG00000007923,86,149,99,131,123,161,92
ENSG00000228750,1,1,1,4,2,1,0
ENSG00000284744,3,4,0,2,0,0,0
ENSG00000237436,2,3,1,1,3,2,6
ENSG00000171735,914,1374,1061,1132,948,1100,778
ENSG00000227950,2,13,3,4,2,8,5
ENSG00000237365,6,4,2,1,1,1,0
ENSG00000207056,0,2,4,1,0,2,1
ENSG00000237402,1,11,3,2,3,3,1
ENSG00000237728,6,9,2,1,0,2,2
ENSG00000225126,2,4,1,1,0,1,0
ENSG00000270171,6,6,6,12,8,9,8
ENSG00000270035,1,4,2,3,2,2,2
ENSG00000269978,1,0,1,14,3,9,3
ENSG00000049245,153,199,140,120,312,206,236
ENSG00000269925,11,18,10,4,10,9,3
ENSG00000049246,370,310,245,280,375,368,234
ENSG00000236266,10,8,6,6,8,15,11
ENSG00000049247,4,0,0,3,1,0,1
ENSG00000049249,4,5,9,1,3,0,2
ENSG00000270330,0,0,2,0,1,0,0
ENSG00000116288,126,89,82,170,128,196,104
ENSG00000200344,2,0,2,0,0,0,2
ENSG00000284747,6,9,13,11,10,5,8
ENSG00000284716,0,1,1,1,2,6,0
ENSG00000116285,172,155,197,245,306,236,205
ENSG00000238290,0,9,1,2,1,2,5
ENSG00000232848,1,4,1,0,1,0,2
ENSG00000229305,1,2,1,0,0,2,0
ENSG00000227634,0,1,1,0,0,1,0
ENSG00000200975,25,54,6,0,7,16,19
ENSG00000233645,0,0,0,0,0,1,0
ENSG00000251977,0,0,0,0,1,0,0
ENSG00000162426,57,51,45,84,50,56,44
ENSG00000252254,15,15,20,14,13,1,5
ENSG00000142599,1276,1594,904,1099,1123,1387,1448
ENSG00000232912,11,9,5,5,13,7,9
ENSG00000221083,4,5,2,4,2,0,6
ENSG00000270282,0,2,0,1,2,5,1
ENSG00000234619,6,10,5,6,5,5,2
ENSG00000224315,10,6,6,6,6,3,4
ENSG00000222511,0,5,1,0,2,1,0
ENSG00000226545,3,1,1,9,2,6,5
ENSG00000228423,3,6,8,4,7,8,6
ENSG00000229716,1,2,0,1,1,5,1
ENSG00000074800,1110,1089,595,1425,1040,1515,1525
ENSG00000274258,0,0,2,0,0,0,0
ENSG00000230679,0,1,0,0,0,0,0
ENSG00000201725,0,0,0,0,0,0,0
ENSG00000238249,7,32,9,8,12,8,4
ENSG00000232208,7,3,4,1,4,4,6
ENSG00000232663,1,0,0,1,0,2,3
ENSG00000131686,2,0,2,1,1,0,0
ENSG00000265141,1,1,1,0,2,2,1
ENSG00000197241,1,0,0,1,0,0,6
ENSG00000142583,59,57,20,21,142,43,125
ENSG00000252404,4,1,1,16,3,2,6
ENSG00000180758,10,8,7,4,10,7,8
ENSG00000228526,44,64,45,36,59,59,34
ENSG00000284357,0,0,0,0,0,0,0
ENSG00000234546,1,5,1,3,1,4,5
ENSG00000049239,115,193,85,124,191,120,154
ENSG00000171621,9,4,15,9,9,11,26
ENSG00000284652,2,1,1,0,6,4,5
ENSG00000284693,8,5,3,2,2,5,4
ENSG00000252956,0,0,0,0,0,0,0
ENSG00000235263,0,0,0,0,0,0,0
ENSG00000171612,127,107,122,116,111,123,95
ENSG00000231181,15,15,16,16,15,19,9
ENSG00000188807,78,91,49,91,69,86,111
ENSG00000171608,103,188,86,165,123,135,178
ENSG00000179840,3,7,2,4,5,1,1
ENSG00000233268,0,0,1,0,0,0,1
ENSG00000231789,1,0,2,0,1,1,1
ENSG00000171603,3162,2194,2631,4270,2824,5648,2895
ENSG00000271264,5,2,1,4,2,2,4
ENSG00000280113,2,5,4,2,7,2,1
ENSG00000178585,137,197,90,135,90,189,247
ENSG00000223989,0,0,0,0,0,0,0
ENSG00000285701,6,11,3,4,8,9,4
ENSG00000162441,221,219,215,156,263,152,147
ENSG00000228150,3,1,0,3,0,2,4
ENSG00000173614,30,42,18,28,35,36,22
ENSG00000202415,31,108,1,15,50,27,27
ENSG00000283611,12,6,2,7,4,6,2
ENSG00000265521,2,0,4,3,1,0,0
ENSG00000241326,0,0,0,0,0,0,0
ENSG00000162444,0,2,1,0,3,2,35
ENSG00000130939,343,454,271,439,345,443,422
ENSG00000224340,1,2,4,1,1,0,0
ENSG00000233623,2,1,3,1,1,9,4
ENSG00000201746,0,2,0,1,1,0,2
ENSG00000054523,5196,5806,4388,5008,5418,6044,5752
ENSG00000264881,0,0,1,0,0,1,1
ENSG00000199562,1,2,0,1,1,3,5
ENSG00000264501,0,0,0,0,0,0,0
ENSG00000284735,50,60,58,53,39,54,78
ENSG00000284642,43,58,48,53,38,66,77
ENSG00000142657,269,287,127,291,327,321,362
ENSG00000271989,0,0,0,0,0,0,0
ENSG00000251503,0,0,1,1,0,1,1
ENSG00000175279,8,5,6,5,8,6,6
ENSG00000241563,3,10,0,20,1,12,1
ENSG00000160049,216,265,143,153,258,212,109
ENSG00000203469,0,0,0,0,0,0,0
ENSG00000142655,34,31,36,57,34,67,34
ENSG00000243267,6,2,3,0,2,6,5
ENSG00000130940,8,12,6,6,9,6,12
ENSG00000272078,5,2,2,0,2,5,10
ENSG00000225158,0,0,0,0,0,0,1
ENSG00000175262,1,0,2,1,1,2,1
ENSG00000215785,3,0,5,2,2,5,2
ENSG00000120948,279,294,256,203,344,238,230
ENSG00000277726,0,0,0,0,0,0,0
ENSG00000009724,17,33,19,16,25,19,20
ENSG00000271895,9,9,18,20,26,17,18
ENSG00000116649,57,84,20,83,65,105,78
ENSG00000171824,198,251,131,193,317,226,292
ENSG00000226849,1,0,0,2,1,2,1
ENSG00000230337,1,1,2,1,2,1,0
ENSG00000198793,544,641,439,552,515,697,407
ENSG00000225602,5,3,9,3,6,3,11
ENSG00000253086,2,1,1,0,0,0,3
ENSG00000171819,12,19,17,11,17,12,15
ENSG00000207451,2,2,2,0,1,0,0
ENSG00000238173,0,0,4,0,1,0,0
ENSG00000120942,53,70,48,59,64,75,81
ENSG00000238199,13,3,8,11,4,2,10
ENSG00000284646,0,2,0,0,0,0,0
ENSG00000224338,1,2,0,0,0,0,1
ENSG00000204624,60,67,57,56,79,51,47
ENSG00000285833,1,0,0,0,0,0,2
ENSG00000235643,2,2,1,0,1,6,2
ENSG00000284708,26,27,22,24,43,33,53
ENSG00000116661,140,174,132,176,205,165,226
ENSG00000132879,278,274,163,305,249,342,257
ENSG00000116663,22,34,20,35,24,58,12
ENSG00000116670,17,22,10,27,18,37,31
ENSG00000162490,27,28,28,20,32,27,38
ENSG00000177674,3,12,5,8,17,12,24
ENSG00000215910,1,2,4,0,0,3,0
ENSG00000177553,0,0,0,0,0,0,0
ENSG00000177000,177,251,125,139,136,208,231
ENSG00000011021,361,521,416,494,360,571,438
ENSG00000276470,0,0,0,0,0,0,0
ENSG00000278852,0,0,0,0,0,0,0
ENSG00000175206,8,9,14,5,5,7,2
ENSG00000275915,0,0,0,0,0,0,0
ENSG00000120937,2,0,0,0,0,1,0
ENSG00000224904,7,6,8,2,2,5,3
ENSG00000285646,9,3,6,1,3,2,6
ENSG00000199347,0,0,0,0,0,0,0
ENSG00000201801,83,130,117,41,94,72,53
ENSG00000116685,34,42,42,57,50,42,65
ENSG00000083444,77,100,38,101,164,101,57
ENSG00000116688,932,996,808,1103,815,1436,1323
ENSG00000270914,0,1,1,0,0,0,0
ENSG00000116691,45,30,21,35,43,34,54
ENSG00000202461,0,1,1,0,1,0,0
ENSG00000276869,0,0,0,0,0,0,0
ENSG00000243539,12,0,3,5,6,9,15
ENSG00000120949,1,0,1,0,0,0,0
ENSG00000201135,0,0,0,1,0,0,0
ENSG00000227875,0,0,0,0,0,0,0
ENSG00000285604,1,1,0,1,1,0,0
ENSG00000283789,0,0,0,0,0,0,0
ENSG00000028137,24,41,37,26,73,27,30
ENSG00000263676,0,0,1,0,1,0,0
ENSG00000225196,0,0,0,1,0,0,4
ENSG00000252969,0,0,0,0,0,1,0
ENSG00000048707,2015,2461,1929,2021,2518,2433,2477
ENSG00000239149,216,188,49,163,164,132,165
ENSG00000229484,0,0,2,1,0,2,0
ENSG00000162496,33,51,29,41,53,87,38
ENSG00000221340,0,0,0,0,0,0,0
ENSG00000276830,0,0,0,0,0,0,0
ENSG00000272482,3,1,1,5,1,1,0
ENSG00000204518,2,1,0,0,1,2,2
ENSG00000226166,0,0,0,0,0,0,0
ENSG00000188984,2,5,14,0,0,0,2
ENSG00000157330,0,4,3,3,4,2,3
ENSG00000116726,1,0,1,0,0,0,1
ENSG00000116721,1,1,3,0,0,0,0
ENSG00000228338,0,0,0,0,0,0,0
ENSG00000239810,1,1,0,0,0,0,0
ENSG00000231103,1,1,0,0,0,0,0
ENSG00000179172,33,54,26,27,20,18,26
ENSG00000120952,1,0,1,0,1,0,0
ENSG00000243073,0,1,0,0,0,0,0
ENSG00000187545,0,0,0,0,1,0,0
ENSG00000204510,1,1,0,0,0,1,0
ENSG00000207434,0,0,0,0,1,1,0
ENSG00000234064,0,0,1,0,0,0,0
ENSG00000232423,0,2,0,0,0,0,0
ENSG00000274178,0,1,0,0,0,0,0
ENSG00000274764,0,0,0,0,0,1,0
ENSG00000277058,25,21,19,20,17,15,44
ENSG00000229571,0,0,0,0,0,1,0
ENSG00000277862,0,0,0,0,2,0,0
ENSG00000236179,0,1,0,0,0,0,0
ENSG00000275774,24,22,22,13,18,14,41
ENSG00000229978,0,0,0,0,2,0,0
ENSG00000233336,0,0,0,0,0,0,0
ENSG00000280267,0,0,0,0,0,1,0
ENSG00000179412,25,21,19,19,17,15,42
ENSG00000204505,0,1,0,0,0,1,0
ENSG00000279169,1,1,1,0,0,0,0
ENSG00000279804,4,0,0,1,1,0,1
ENSG00000250894,0,1,2,0,0,0,0
ENSG00000270601,0,1,0,0,0,0,0
ENSG00000231219,0,0,1,0,0,0,0
ENSG00000207511,0,0,0,0,1,1,0
ENSG00000182330,1,1,0,0,0,1,0
ENSG00000237700,0,0,0,0,0,0,0
ENSG00000204501,0,0,0,0,1,0,0
ENSG00000228229,0,0,0,0,0,0,0
ENSG00000204481,1,1,1,0,0,0,0
ENSG00000204480,2,0,0,0,0,0,1
ENSG00000204479,0,1,0,0,0,0,0
ENSG00000204478,0,2,0,0,1,0,0
ENSG00000162494,5,9,3,8,1,4,4
ENSG00000259961,0,0,0,0,0,1,0
ENSG00000215909,1,0,1,9,2,3,3
ENSG00000162493,15,13,14,28,54,12,24
ENSG00000222952,0,0,0,0,0,0,0
ENSG00000237445,0,2,0,0,0,2,2
ENSG00000253085,0,0,1,0,0,0,1
ENSG00000116731,860,999,1008,833,752,1153,935
ENSG00000189337,201,336,204,269,205,273,296
ENSG00000252151,0,0,1,0,1,2,4
ENSG00000231606,7,9,10,9,8,15,12
ENSG00000234593,9,17,4,14,5,14,9
ENSG00000235829,7,7,3,10,2,9,4
ENSG00000175147,11,29,19,14,7,18,5
ENSG00000171729,16,21,5,7,17,6,9
ENSG00000204464,2,0,0,4,0,4,2
ENSG00000215720,1,3,0,5,0,2,1
ENSG00000278480,0,1,1,0,0,2,0
ENSG00000142621,23,29,46,16,30,29,26
ENSG00000233485,1,1,12,1,0,0,1
ENSG00000236045,0,2,0,0,0,0,1
ENSG00000228140,8,6,11,8,10,7,9
ENSG00000142634,104,172,87,201,139,200,284
ENSG00000162438,1,1,3,6,1,1,9
ENSG00000142615,6,2,4,1,2,1,5
ENSG00000215704,5,2,8,4,4,0,1
ENSG00000132906,64,83,55,58,56,74,83
ENSG00000116138,275,313,282,277,287,380,321
ENSG00000251866,8,4,1,3,4,9,2
ENSG00000272510,3,2,1,1,0,2,0
ENSG00000116771,22,33,16,24,18,27,15
ENSG00000237301,0,3,3,1,1,2,3
ENSG00000235084,38,36,20,67,27,39,39
ENSG00000252417,0,0,0,0,0,0,0
ENSG00000236500,0,0,0,0,0,0,0
ENSG00000197312,247,288,274,232,262,285,254
ENSG00000215695,0,0,0,0,0,0,0
ENSG00000271742,0,0,0,0,0,0,0
ENSG00000116786,539,649,383,480,660,647,572
ENSG00000237938,7,12,6,7,12,15,10
ENSG00000162461,9,13,7,18,19,9,13
ENSG00000224459,0,0,0,1,0,0,0
ENSG00000162460,0,0,0,0,1,0,1
ENSG00000162458,9,14,6,1,15,9,12
ENSG00000224321,4,3,1,4,1,2,6
ENSG00000233954,66,59,43,67,33,75,46
ENSG00000178715,11,5,10,2,15,20,11
ENSG00000179743,8,18,8,14,15,15,15
ENSG00000065526,904,1135,721,716,1020,936,1040
ENSG00000270620,3,2,3,0,4,0,1
ENSG00000116809,49,96,34,44,60,46,56
ENSG00000234607,2,5,1,0,4,2,3
ENSG00000231353,1,0,0,0,1,1,1
ENSG00000275503,0,0,0,0,0,0,0
ENSG00000224966,0,0,0,0,0,0,0
ENSG00000183888,10,5,4,8,8,9,4
ENSG00000233078,0,0,0,0,0,0,0
ENSG00000173641,6,4,1,3,4,11,5
ENSG00000186510,2,2,0,3,2,1,3
ENSG00000232456,1,1,1,6,2,10,3
ENSG00000184908,3,5,1,9,2,2,6
ENSG00000185519,24,19,11,25,17,34,32
ENSG00000142627,18,22,30,6,28,16,11
ENSG00000227959,3,1,0,0,3,0,0
ENSG00000224621,0,0,0,0,1,0,0
ENSG00000142632,3,11,2,2,20,4,12
ENSG00000234166,0,0,0,0,0,0,0
ENSG00000237276,1,4,3,2,6,12,1
ENSG00000132881,24,41,29,25,28,30,26
ENSG00000233929,8,10,3,32,18,15,16
ENSG00000037637,258,215,157,251,213,248,347
ENSG00000055070,72,105,98,76,117,68,70
ENSG00000226457,18,16,5,7,10,8,6
ENSG00000187144,2,6,5,5,2,0,5
ENSG00000157191,96,96,47,51,146,93,106
ENSG00000226029,24,37,30,21,36,39,32
ENSG00000080947,131,174,102,112,130,109,114
ENSG00000206652,73688,50599,19117,110920,66624,195948,101412
ENSG00000261135,12,5,5,4,8,8,5
ENSG00000285853,0,1,2,1,0,0,2
ENSG00000224174,0,0,0,0,0,0,0
ENSG00000233421,2973,3074,3925,646,2833,819,1417
ENSG00000277344,0,0,0,0,0,0,0
ENSG00000225710,40,43,26,12,16,26,28
ENSG00000219481,466,867,448,364,466,448,427
ENSG00000271732,1,1,0,0,2,3,0
ENSG00000215908,54,102,99,72,106,99,66
ENSG00000283773,0,0,0,0,0,0,0
ENSG00000186301,10,21,1,18,8,18,12
ENSG00000282143,18,15,13,18,16,21,16
ENSG00000207513,29698,44781,19114,46298,28980,90416,61501
ENSG00000280114,15,35,24,12,11,23,25
ENSG00000236698,100,92,78,107,103,134,62
ENSG00000268869,1,5,4,1,6,4,5
ENSG00000279151,2,1,0,0,0,0,0
ENSG00000282740,18,15,12,18,16,21,16
ENSG00000058453,76,126,70,66,95,87,100
ENSG00000227684,0,3,1,3,1,2,0
ENSG00000207389,29704,44781,19114,46304,28978,90416,61499
ENSG00000186715,17,46,5,21,22,36,33
ENSG00000223643,4,4,7,7,2,0,2
ENSG00000230239,25,36,7,7,10,13,22
ENSG00000263811,0,0,0,0,0,0,0
ENSG00000228549,1441,999,2682,96,988,782,605
ENSG00000277234,0,0,0,0,0,0,0
ENSG00000238142,3,5,1,3,10,3,2
ENSG00000235241,0,0,0,1,0,0,0
ENSG00000207005,73721,50602,19117,110921,66630,195949,101412
ENSG00000272426,4,5,5,0,9,3,3
ENSG00000117122,5,5,1,2,3,2,1
ENSG00000226526,0,1,0,0,0,0,0
ENSG00000159363,327,442,374,578,370,469,497
ENSG00000117118,136,162,87,130,193,209,142
ENSG00000117115,709,803,235,416,1215,632,1401
ENSG00000204362,0,1,0,0,0,0,1
ENSG00000282843,1,0,0,1,0,0,1
ENSG00000142623,2,4,6,2,0,1,3
ENSG00000142619,3,1,3,0,1,3,0
ENSG00000266634,0,0,0,0,0,0,0
ENSG00000159339,7,5,2,1,1,0,2
ENSG00000276747,0,0,0,0,0,1,0
ENSG00000179051,120,127,72,126,149,154,137
ENSG00000227751,0,0,0,0,0,0,0
ENSG00000074964,114,147,73,144,155,164,176
ENSG00000236648,4,0,0,0,0,1,0
ENSG00000117148,1,3,1,0,1,0,0
